age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
30,1,1,Bachelor,Full-time,64,Different Religion,1,6,3,Collaborative,6,0,0,0,8,5,Love,1,0,6,1
27,2,2,Master,Full-time,86,Same Religion,1,6,3,Aggressive,1,0,1,0,5,1,Love,1,0,7,1
31,6,0,High School,Part-time,69,Same Religion,0,6,3,Collaborative,3,0,0,0,6,1,Arranged,1,0,6,1
35,3,2,Bachelor,Full-time,70,Not Religious,1,6,3,Aggressive,5,0,0,0,5,5,Love,1,0,3,0
26,2,2,No Formal Education,Full-time,64,Different Religion,1,5,1,Passive,9,0,0,1,6,4,Love,1,0,10,1
26,10,0,High School,Full-time,45,Same Religion,0,7,3,Collaborative,9,0,0,0,7,3,Love,1,0,5,0
35,10,2,High School,Full-time,73,Different Religion,1,4,1,Passive,1,0,0,0,7,1,Love,1,0,6,0
31,17,1,High School,Unemployed,59,Not Religious,1,7,4,Aggressive,2,0,0,0,9,2,Love,0,0,7,1
25,5,1,Bachelor,Full-time,41,Not Religious,0,3,0,Collaborative,5,0,0,0,9,3,Arranged,1,0,2,0
30,1,0,PhD,Full-time,47,Same Religion,1,4,1,Collaborative,7,1,0,0,6,1,Arranged,1,0,9,1
25,3,4,Bachelor,Part-time,37,Same Religion,0,5,1,Collaborative,3,0,0,0,5,2,Love,0,0,4,0
25,39,2,Bachelor,Unemployed,81,Different Religion,1,6,0,Collaborative,6,1,0,0,7,3,Arranged,1,0,8,0
29,9,3,Bachelor,Full-time,100,Same Religion,1,6,2,Collaborative,3,0,0,1,5,4,Arranged,0,0,3,1
18,12,2,Bachelor,Full-time,83,Not Religious,1,4,1,Collaborative,4,0,1,0,8,6,Arranged,1,0,7,0
19,1,3,Bachelor,Homemaker,68,Same Religion,1,3,4,Passive,2,0,0,1,9,4,Arranged,0,0,2,1
25,7,2,High School,Full-time,59,Same Religion,1,8,0,Avoidant,2,0,0,0,7,0,Arranged,1,0,9,1
22,1,0,Bachelor,Homemaker,54,Not Religious,0,6,3,Avoidant,4,1,0,0,6,0,Arranged,1,0,7,0
29,8,2,Bachelor,Full-time,40,Same Religion,1,6,9,Collaborative,8,0,0,1,7,5,Love,1,0,6,0
23,25,1,High School,Full-time,99,Same Religion,0,7,3,Avoidant,6,0,0,0,6,4,Love,0,0,8,1
20,34,1,Bachelor,Full-time,39,Different Religion,1,4,0,Collaborative,6,0,0,0,4,5,Love,0,0,4,0
35,7,3,No Formal Education,Full-time,43,Same Religion,0,8,3,Aggressive,4,0,0,0,7,4,Love,1,0,5,1
26,6,0,Bachelor,Homemaker,56,Different Religion,1,7,0,Avoidant,6,0,1,0,9,2,Love,1,0,4,1
28,29,3,No Formal Education,Homemaker,58,Same Religion,1,5,2,Collaborative,4,0,0,0,5,3,Love,1,0,4,0
20,11,2,High School,Homemaker,72,Same Religion,1,6,4,Avoidant,3,1,0,1,5,2,Love,0,0,7,0
25,1,1,Master,Homemaker,47,Same Religion,1,6,3,Avoidant,6,0,0,0,8,6,Arranged,1,0,6,0
28,6,2,High School,Unemployed,20,Different Religion,1,9,4,Aggressive,4,1,0,0,6,2,Love,1,0,3,0
22,2,2,High School,Part-time,55,Same Religion,1,7,1,Avoidant,2,0,0,1,6,3,Arranged,0,0,6,0
29,6,2,Bachelor,Unemployed,57,Same Religion,1,7,2,Passive,6,1,0,0,5,3,Arranged,0,0,7,1
24,6,0,Bachelor,Full-time,55,Not Religious,1,6,5,Collaborative,2,0,0,1,7,3,Love,0,0,7,1
26,8,1,Master,Full-time,55,Not Religious,1,6,1,Passive,6,1,0,1,6,7,Arranged,0,0,9,1
24,4,0,Bachelor,Part-time,53,Different Religion,1,10,2,Collaborative,6,0,0,1,3,4,Love,1,0,5,0
37,1,1,Bachelor,Homemaker,34,Same Religion,1,5,0,Passive,2,0,0,0,7,3,Love,0,0,7,0
27,7,3,PhD,Part-time,89,Same Religion,1,6,1,Collaborative,2,1,0,0,8,4,Love,0,0,6,1
22,17,1,Bachelor,Unemployed,88,Different Religion,0,10,2,Avoidant,8,1,0,0,6,0,Love,1,0,7,0
32,10,3,High School,Full-time,88,Not Religious,1,9,2,Avoidant,7,0,0,0,8,2,Arranged,1,0,9,0
21,4,0,High School,Unemployed,36,Not Religious,0,7,4,Collaborative,6,0,0,0,4,4,Arranged,1,0,4,0
29,27,1,Bachelor,Homemaker,68,Not Religious,0,3,0,Aggressive,6,0,0,0,4,4,Love,0,0,9,0
18,24,1,Master,Full-time,52,Not Religious,1,10,5,Avoidant,7,0,1,0,5,3,Love,1,0,8,0
21,2,4,High School,Homemaker,50,Same Religion,0,6,1,Avoidant,7,0,0,1,6,4,Love,1,0,5,1
28,1,4,High School,Part-time,41,Different Religion,1,6,0,Collaborative,3,1,1,0,7,7,Love,0,0,7,0
31,13,1,High School,Part-time,111,Not Religious,0,8,1,Collaborative,5,0,0,0,5,0,Love,1,0,6,0
28,17,1,Bachelor,Homemaker,55,Not Religious,1,6,0,Passive,4,0,0,0,7,4,Love,1,0,3,0
27,34,3,High School,Full-time,42,Not Religious,1,6,1,Avoidant,6,0,0,0,5,0,Love,1,0,5,1
26,22,1,High School,Full-time,63,Same Religion,1,6,1,Aggressive,5,0,0,1,1,3,Love,1,0,5,1
20,9,1,Bachelor,Part-time,75,Different Religion,0,5,5,Collaborative,8,0,0,0,3,3,Love,0,0,7,1
24,7,2,Master,Full-time,57,Same Religion,1,7,2,Avoidant,6,0,0,0,9,6,Arranged,1,0,3,0
25,1,1,Bachelor,Full-time,65,Same Religion,1,5,2,Collaborative,5,0,0,0,5,2,Love,1,0,5,1
33,2,2,Bachelor,Full-time,80,Same Religion,1,4,0,Collaborative,7,0,0,0,5,3,Arranged,1,0,4,1
29,6,0,High School,Homemaker,41,Not Religious,0,7,2,Collaborative,7,1,0,0,3,1,Love,0,0,6,0
19,9,1,PhD,Full-time,64,Not Religious,1,9,1,Collaborative,8,0,0,0,7,3,Love,1,0,10,0
29,8,1,Bachelor,Full-time,47,Different Religion,1,5,1,Aggressive,6,0,0,0,5,3,Love,1,0,1,0
26,13,0,No Formal Education,Homemaker,45,Same Religion,1,5,5,Aggressive,10,0,0,0,6,0,Other,1,0,6,0
24,3,1,No Formal Education,Homemaker,95,Same Religion,1,6,3,Avoidant,7,0,0,1,6,3,Other,1,0,7,0
31,8,1,Master,Unemployed,58,Different Religion,1,6,2,Collaborative,10,0,0,0,3,1,Love,1,0,6,0
33,1,0,High School,Part-time,39,Same Religion,0,2,4,Aggressive,5,1,0,0,5,3,Love,0,0,9,0
32,5,3,Bachelor,Full-time,58,Same Religion,0,5,0,Aggressive,10,1,0,0,8,4,Love,0,0,7,0
23,13,2,High School,Full-time,36,Not Religious,1,10,3,Avoidant,7,0,0,1,6,2,Love,0,0,6,0
26,11,2,Master,Full-time,56,Same Religion,0,9,1,Avoidant,2,0,0,0,2,6,Love,1,0,4,0
29,40,2,Master,Unemployed,46,Same Religion,0,9,4,Avoidant,3,0,0,0,6,1,Love,1,0,8,0
32,3,1,No Formal Education,Full-time,70,Same Religion,0,7,1,Avoidant,4,0,0,0,5,0,Arranged,1,1,4,1
25,6,2,Bachelor,Part-time,99,Not Religious,0,5,4,Collaborative,4,0,0,0,5,1,Love,1,0,7,0
27,3,2,Bachelor,Full-time,57,Not Religious,1,7,2,Avoidant,6,0,0,0,5,0,Love,1,0,3,1
22,5,3,Bachelor,Full-time,47,Not Religious,1,7,3,Collaborative,9,0,0,1,5,2,Love,1,0,10,0
22,19,1,Bachelor,Part-time,62,Different Religion,1,5,2,Collaborative,6,0,0,0,6,2,Love,1,0,6,0
32,11,3,Bachelor,Unemployed,90,Same Religion,1,3,1,Collaborative,2,0,0,0,5,2,Love,1,0,8,0
34,21,1,Bachelor,Full-time,70,Not Religious,0,8,1,Avoidant,6,0,1,0,8,2,Arranged,1,0,8,1
